N = 64, model_type = GRU, Adaptive Run
Step = 1800, Energy = -28.896358-0.075475j, Var = 38.736873
Step = 1805, Energy = -29.217298+0.181353j, Var = 49.047405
Step = 1810, Energy = -28.761836+0.539969j, Var = 56.555156
Step = 1815, Energy = -28.468541-0.183982j, Var = 27.583880
Step = 1820, Energy = -28.734054+0.213355j, Var = 56.557917
Step = 1825, Energy = -28.394853+0.809068j, Var = 41.061454
Step = 1830, Energy = -27.957952-0.025029j, Var = 28.926688
Step = 1835, Energy = -28.515714+0.315097j, Var = 25.841670
Step = 1840, Energy = -29.286715+0.682344j, Var = 39.515288
Step = 1845, Energy = -28.076918-0.907310j, Var = 21.354741
Step = 1850, Energy = -29.048227-0.614391j, Var = 37.849797
Step = 1855, Energy = -28.749448+0.388398j, Var = 40.806561
Step = 1860, Energy = -29.451580+0.402756j, Var = 46.186780
Step = 1865, Energy = -29.246001+0.066119j, Var = 32.441427
Step = 1870, Energy = -28.404305-1.051957j, Var = 29.849209
Step = 1875, Energy = -29.544894+0.614670j, Var = 52.662873
Step = 1880, Energy = -28.253949-0.503310j, Var = 25.346968
Step = 1885, Energy = -27.732504-0.175894j, Var = 28.721834
Step = 1890, Energy = -28.938651-0.240025j, Var = 32.756710
Step = 1895, Energy = -27.947109+0.634232j, Var = 34.623184
Step = 1900, Energy = -29.023968+1.075608j, Var = 50.616264
Step = 1905, Energy = -29.252635+1.028657j, Var = 56.325994
Step = 1910, Energy = -28.284804-0.418547j, Var = 30.712332
Step = 1915, Energy = -29.259122+0.729944j, Var = 47.641083
Step = 1920, Energy = -29.400282+0.180028j, Var = 58.927468
Step = 1925, Energy = -28.853916-0.199562j, Var = 25.729396
Step = 1930, Energy = -29.134226+0.264236j, Var = 43.032412
Step = 1935, Energy = -29.058561-0.009518j, Var = 38.308119
Step = 1940, Energy = -28.499794-0.074153j, Var = 34.983210
Step = 1945, Energy = -29.336743-0.669499j, Var = 27.348046
Step = 1950, Energy = -28.876749+0.121548j, Var = 53.522645
Step = 1955, Energy = -28.578117-0.076396j, Var = 43.551797
Step = 1960, Energy = -29.063875-0.771296j, Var = 25.561711
Step = 1965, Energy = -28.715159+0.069526j, Var = 36.111796
Step = 1970, Energy = -28.564793+0.179399j, Var = 30.602913
Step = 1975, Energy = -29.729754+0.477848j, Var = 56.968847
Step = 1980, Energy = -28.173504+0.412387j, Var = 36.021657
Step = 1985, Energy = -28.476798+0.123437j, Var = 43.334797
Step = 1990, Energy = -29.140247+0.857981j, Var = 58.417503
Step = 1995, Energy = -28.400788+0.997645j, Var = 53.809712
Step = 2000, Energy = -29.052130+0.411467j, Var = 46.122373
Step = 2005, Energy = -28.467701+0.361353j, Var = 39.554157
Step = 2010, Energy = -28.808339+0.678871j, Var = 47.135964
Step = 2015, Energy = -29.166465-0.356645j, Var = 30.878274
Step = 2020, Energy = -29.180060+0.031124j, Var = 27.299238
Step = 2025, Energy = -28.247669+0.940366j, Var = 41.355159
Step = 2030, Energy = -28.289592+0.050776j, Var = 35.028507
Step = 2035, Energy = -28.552233+1.464835j, Var = 60.854419
Step = 2040, Energy = -28.485540+0.018008j, Var = 40.433104
Step = 2045, Energy = -29.102175+0.003761j, Var = 36.784201
Step = 2050, Energy = -28.989348-0.387274j, Var = 30.628487
Step = 2055, Energy = -28.839205-0.064506j, Var = 41.562118
Step = 2060, Energy = -28.770974-0.539062j, Var = 22.778030
Step = 2065, Energy = -28.143109-0.030755j, Var = 43.190831
Step = 2070, Energy = -28.667734+0.386648j, Var = 51.244974
Step = 2075, Energy = -29.482779-0.042308j, Var = 28.721807
Step = 2080, Energy = -29.151641+0.804764j, Var = 41.978747
Step = 2085, Energy = -28.140375-0.567260j, Var = 35.418289
Step = 2090, Energy = -29.353359+0.291366j, Var = 65.976503
Step = 2095, Energy = -29.240486-0.190475j, Var = 72.888637
Step = 2100, Energy = -28.695047+0.188060j, Var = 26.601179
Step = 2105, Energy = -28.538003-0.534863j, Var = 22.181273
Step = 2110, Energy = -29.266563-0.697493j, Var = 27.805135
Step = 2115, Energy = -28.961175+0.721843j, Var = 57.046635
Step = 2120, Energy = -28.377008+0.163821j, Var = 45.433739
Step = 2125, Energy = -29.893746+0.942808j, Var = 46.148020
Step = 2130, Energy = -29.085948+0.982002j, Var = 46.211597
Step = 2135, Energy = -28.912166-0.181068j, Var = 30.664688
Step = 2140, Energy = -28.126139+0.332676j, Var = 22.585755
Step = 2145, Energy = -29.210544+0.444161j, Var = 35.023915
Step = 2150, Energy = -30.270114-0.179600j, Var = 75.422459
Step = 2155, Energy = -28.839280-0.499560j, Var = 31.209853
