N = 64, model_type = GRU
Step = 970, Energy = -50.162616+0.085189j, Var = 28.665889, Loss = 3.619036
Step = 975, Energy = -50.711381+0.433526j, Var = 23.850115, Loss = -3.609217
Step = 980, Energy = -50.017870+0.666673j, Var = 41.986448, Loss = 8.009544
Step = 985, Energy = -50.658976+0.056943j, Var = 40.065806, Loss = -18.497040
Step = 990, Energy = -51.793499-0.227266j, Var = 37.365164, Loss = 8.644778
Step = 995, Energy = -50.052015-0.005577j, Var = 35.783467, Loss = 23.272326
Step = 1000, Energy = -50.632008-0.427773j, Var = 25.449516, Loss = -8.380204
Step = 1005, Energy = -50.984871+0.062282j, Var = 57.238215, Loss = 4.087933
Step = 1010, Energy = -51.200052+0.308324j, Var = 26.820093, Loss = -3.759818
Step = 1015, Energy = -49.626670-0.127849j, Var = 50.212607, Loss = 0.797132
Step = 1020, Energy = -49.412197+1.070215j, Var = 81.736842, Loss = 4.057765
Step = 1025, Energy = -49.614654-0.379730j, Var = 44.596679, Loss = 0.125464
Step = 1030, Energy = -50.272228-0.354570j, Var = 44.183647, Loss = -6.331928
Step = 1035, Energy = -51.021125+0.030684j, Var = 23.242398, Loss = 3.674840
Step = 1040, Energy = -51.401923-0.185490j, Var = 28.650642, Loss = 4.587883
Step = 1045, Energy = -49.552596+0.018814j, Var = 53.481473, Loss = -21.955538
Step = 1050, Energy = -51.077718+0.170886j, Var = 52.402874, Loss = 1.287332
Step = 1055, Energy = -51.784260+0.094341j, Var = 32.394111, Loss = 7.847684
Step = 1060, Energy = -51.226578+0.159593j, Var = 32.742894, Loss = -16.479468
Step = 1065, Energy = -52.172996+0.554701j, Var = 35.919792, Loss = -3.212200
Step = 1070, Energy = -51.366465-0.418142j, Var = 65.291632, Loss = -3.073783
Step = 1075, Energy = -51.945715+0.079728j, Var = 29.121328, Loss = -4.879864
Step = 1080, Energy = -50.713961-0.139291j, Var = 23.664010, Loss = 8.994205
Step = 1085, Energy = -51.126923-0.141019j, Var = 36.398296, Loss = -24.942556
Step = 1090, Energy = -50.378077+0.558630j, Var = 47.431176, Loss = 32.020853
